timestamp,product_name,lowest_verified_price,currency,retailer,link,alert_sent
2026-03-14T09:38:34Z,Eureka Mignon Specialita,335.29,EUR,captncoffee.com,"https://www.google.com/search?ibp=oshop&q=Eureka%20Mignon%20Specialita&prds=catalogid:14752652204371840083,headlineOfferDocid:16711698174929308029,imageDocid:12949796512937000297,rds:PC_3733373465270691311%7CPROD_PC_3733373465270691311,gpcid:10777397448097628759,mid:576462785104475448,pvt:hg&hl=en&gl=nl&udm=28",True
2026-03-15T09:39:57Z,Eureka Mignon Specialita,,EUR,,,False
2026-03-15T09:39:57Z,Eureka Mignon Specialita,,EUR,,,False
2026-03-16T10:09:25Z,Eureka Mignon Specialita,343.7,EUR,captncoffee.com,"https://www.google.com/search?ibp=oshop&q=Eureka%20Mignon%20Specialita&prds=catalogid:14141726084452755834,headlineOfferDocid:7698708355082757373,imageDocid:3017834000068332418,rds:PC_1548140812574855695%7CPROD_PC_1548140812574855695,gpcid:1548140812574855695,pvt:hg&hl=en&gl=nl&udm=28",True
2026-03-17T09:59:23Z,Eureka Mignon Specialita,335.29,EUR,captncoffee.com,"https://www.google.com/search?ibp=oshop&q=Eureka%20Mignon%20Specialita&prds=productid:16711698174929308029,headlineOfferDocid:16711698174929308029,imageDocid:12949796512937000297,rds:PC_10777397448097628759%7CPROD_PC_10777397448097628759,pvt:hg&hl=en&gl=nl&udm=28",True
2026-03-18T10:01:12Z,Eureka Mignon Specialita,343.7,EUR,captncoffee.com,"https://www.google.com/search?ibp=oshop&q=Eureka%20Mignon%20Specialita&prds=catalogid:14141726084452755834,headlineOfferDocid:7698708355082757373,imageDocid:3017834000068332418,rds:PC_1548140812574855695%7CPROD_PC_1548140812574855695,gpcid:1548140812574855695,mid:576462884839025924,pvt:hg&hl=en&gl=nl&udm=28",True
2026-03-19T09:52:37Z,Eureka Mignon Specialita,343.7,EUR,captncoffee.com,"https://www.google.com/search?ibp=oshop&q=Eureka%20Mignon%20Specialita&prds=catalogid:14141726084452755834,headlineOfferDocid:7698708355082757373,imageDocid:3017834000068332418,rds:PC_1548140812574855695%7CPROD_PC_1548140812574855695,gpcid:1548140812574855695,mid:576462884839025924,pvt:hg&hl=en&gl=nl&udm=28",True
2026-03-20T09:50:09Z,Eureka Mignon Specialita,,EUR,,,False
2026-03-20T09:50:09Z,Eureka Mignon Specialita,,EUR,,,False
2026-03-21T09:37:17Z,Eureka Mignon Specialita,,EUR,,,False
2026-03-21T09:37:17Z,Eureka Mignon Specialita,,EUR,,,False
2026-03-22T09:38:20Z,Eureka Mignon Specialita,349.0,EUR,coffeefriend.nl,"https://www.google.com/search?ibp=oshop&q=Eureka%20Mignon%20Specialita&prds=catalogid:11978258955518544554,headlineOfferDocid:15513345247052008163,imageDocid:4744651617374817372,rds:PC_2595388442952320215%7CPROD_PC_2595388442952320215,gpcid:2595388442952320215,pvt:hg&hl=en&gl=nl&udm=28",True
2026-03-23T10:06:53Z,Eureka Mignon Specialita,335.29,EUR,captncoffee.com,"https://www.google.com/search?ibp=oshop&q=Eureka%20Mignon%20Specialita&prds=catalogid:14752652204371840083,headlineOfferDocid:16711698174929308029,imageDocid:12949796512937000297,rds:PC_10777397448097628759%7CPROD_PC_10777397448097628759,gpcid:10777397448097628759,mid:576462785104475448,pvt:hg&hl=en&gl=nl&udm=28",True
2026-03-24T09:59:44Z,Eureka Mignon Specialita,370.0,EUR,coffeeone.com.ua,"https://www.google.com/search?ibp=oshop&q=Eureka%20Mignon%20Specialita&prds=productid:8854986806998894633,headlineOfferDocid:8854986806998894633,imageDocid:4121785693955325914,rds:PC_10777397448097628759%7CPROD_PC_10777397448097628759,pvt:hg&hl=en&gl=nl&udm=28",True
2026-03-25T09:58:36Z,Eureka Mignon Specialita,370.0,EUR,coffeeone.com.ua,"https://www.google.com/search?ibp=oshop&q=Eureka%20Mignon%20Specialita&prds=productid:8854986806998894633,headlineOfferDocid:8854986806998894633,imageDocid:4121785693955325914,rds:PC_10777397448097628759%7CPROD_PC_10777397448097628759,pvt:hg&hl=en&gl=nl&udm=28",True
2026-03-26T10:04:40Z,Eureka Mignon Specialita,371.8,EUR,Natur Bohne Bio Kaffee,"https://www.google.com/search?ibp=oshop&q=Eureka%20Mignon%20Specialita&prds=catalogid:16571144765841545914,headlineOfferDocid:8277623931370387716,imageDocid:2623831671333682759,gpcid:12751364777962778922,pvt:hg&hl=en&gl=nl&udm=28",True
2026-03-27T09:58:13Z,Eureka Mignon Specialita,371.8,EUR,Natur Bohne Bio Kaffee,"https://www.google.com/search?ibp=oshop&q=Eureka%20Mignon%20Specialita&prds=catalogid:16571144765841545914,headlineOfferDocid:8277623931370387716,imageDocid:2623831671333682759,gpcid:12751364777962778922,pvt:hg&hl=en&gl=nl&udm=28",True
2026-03-28T09:41:58Z,Eureka Mignon Specialita,335.29,EUR,captncoffee.com,"https://www.google.com/search?ibp=oshop&q=Eureka%20Mignon%20Specialita&prds=catalogid:14752652204371840083,headlineOfferDocid:16711698174929308029,imageDocid:12949796512937000297,rds:PC_10777397448097628759%7CPROD_PC_10777397448097628759,gpcid:10777397448097628759,mid:576462785104475448,pvt:hg&hl=en&gl=nl&udm=28",True
2026-03-29T09:42:29Z,Eureka Mignon Specialita,370.0,EUR,coffeeone.com.ua,"https://www.google.com/search?ibp=oshop&q=Eureka%20Mignon%20Specialita&prds=productid:12404836920608809651,headlineOfferDocid:12404836920608809651,imageDocid:4121785693955325914,pvt:hg&hl=en&gl=nl&udm=28",True
2026-03-30T10:21:09Z,Eureka Mignon Specialita,343.52,EUR,Natur Bohne Bio Kaffee,"https://www.google.com/search?ibp=oshop&q=Eureka%20Mignon%20Specialita&prds=catalogid:14044020929458697076,headlineOfferDocid:12443512692959713871,imageDocid:4340964114495873387,gpcid:6375742266444167153,pvt:hg&hl=en&gl=nl&udm=28",True
2026-03-31T10:09:00Z,Eureka Mignon Specialita,366.56,EUR,Natur Bohne Bio Kaffee,"https://www.google.com/search?ibp=oshop&q=Eureka%20Mignon%20Specialita&prds=catalogid:1098029184201322794,headlineOfferDocid:13203614717108671049,imageDocid:12066997573653708573,rds:PC_10777397448097628759%7CPROD_PC_10777397448097628759,gpcid:3631096347087770257,mid:576462785104475448,pvt:hg&hl=en&gl=nl&udm=28",True
2026-04-01T10:09:31Z,Eureka Mignon Specialita,366.56,EUR,Natur Bohne Bio Kaffee,"https://www.google.com/search?ibp=oshop&q=Eureka%20Mignon%20Specialita&prds=catalogid:1098029184201322794,headlineOfferDocid:13203614717108671049,imageDocid:12066997573653708573,rds:PC_10777397448097628759%7CPROD_PC_10777397448097628759,gpcid:3631096347087770257,mid:576462785104475448,pvt:hg&hl=en&gl=nl&udm=28",True
2026-04-02T10:04:35Z,Eureka Mignon Specialita,366.56,EUR,Natur Bohne Bio Kaffee,"https://www.google.com/search?ibp=oshop&q=Eureka%20Mignon%20Specialita&prds=catalogid:1098029184201322794,headlineOfferDocid:13203614717108671049,imageDocid:12066997573653708573,rds:PC_10777397448097628759%7CPROD_PC_10777397448097628759,gpcid:3631096347087770257,pvt:hg&hl=en&gl=nl&udm=28",True
2026-04-03T09:56:08Z,Eureka Mignon Specialita,361.0,EUR,Baristart,"https://www.google.com/search?ibp=oshop&q=Eureka%20Mignon%20Specialita&prds=catalogid:10992225782555387207,headlineOfferDocid:280832922701481461,imageDocid:58730417928215556,rds:PC_17440129984100348105%7CPROD_PC_17440129984100348105,gpcid:17440129984100348105,mid:576462874592753469,pvt:hg&hl=en&gl=nl&udm=28",True
2026-04-04T09:43:26Z,Eureka Mignon Specialita,371.8,EUR,Natur Bohne Bio Kaffee,"https://www.google.com/search?ibp=oshop&q=Eureka%20Mignon%20Specialita&prds=catalogid:16571144765841545914,headlineOfferDocid:8365935801495956101,imageDocid:2623831671333682759,gpcid:12751364777962778922,pvt:hg&hl=en&gl=nl&udm=28",True
2026-04-05T09:44:35Z,Eureka Mignon Specialita,361.0,EUR,Baristart,"https://www.google.com/search?ibp=oshop&q=Eureka%20Mignon%20Specialita&prds=catalogid:10992225782555387207,headlineOfferDocid:280832922701481461,imageDocid:58730417928215556,rds:PC_17440129984100348105%7CPROD_PC_17440129984100348105,gpcid:17440129984100348105,mid:576462874592753469,pvt:hg&hl=en&gl=nl&udm=28",True
2026-04-06T10:13:55Z,Eureka Mignon Specialita,250.0,EUR,CasaBarista,"https://www.google.com/search?ibp=oshop&q=Eureka%20Mignon%20Specialita&prds=catalogid:5152407457177877089,headlineOfferDocid:8009106987774486137,imageDocid:10382510713264444033,gpcid:18440261799912455151,pvt:hg&hl=en&gl=nl&udm=28",True
2026-04-07T10:10:36Z,Eureka Mignon Specialita,250.0,EUR,CasaBarista,"https://www.google.com/search?ibp=oshop&q=Eureka%20Mignon%20Specialita&prds=catalogid:5152407457177877089,headlineOfferDocid:8009106987774486137,imageDocid:10382510713264444033,gpcid:18440261799912455151,pvt:hg&hl=en&gl=nl&udm=28",True
2026-04-08T10:12:06Z,Eureka Mignon Specialita,370.0,EUR,coffeeone.com.ua,"https://www.google.com/search?ibp=oshop&q=Eureka%20Mignon%20Specialita&prds=productid:8854986806998894633,headlineOfferDocid:8854986806998894633,imageDocid:4121785693955325914,rds:PC_10777397448097628759%7CPROD_PC_10777397448097628759,pvt:hg&hl=en&gl=nl&udm=28",True
2026-04-09T10:16:31Z,Eureka Mignon Specialita,371.8,EUR,Natur Bohne Bio Kaffee,"https://www.google.com/search?ibp=oshop&q=Eureka%20Mignon%20Specialita&prds=catalogid:16571144765841545914,headlineOfferDocid:8365935801495956101,imageDocid:2623831671333682759,gpcid:12751364777962778922,pvt:hg&hl=en&gl=nl&udm=28",True
2026-04-10T10:10:22Z,Eureka Mignon Specialita,371.8,EUR,Natur Bohne Bio Kaffee,"https://www.google.com/search?ibp=oshop&q=Eureka%20Mignon%20Specialita&prds=catalogid:16571144765841545914,headlineOfferDocid:8365935801495956101,imageDocid:2623831671333682759,gpcid:12751364777962778922,pvt:hg&hl=en&gl=nl&udm=28",True
2026-04-11T09:47:58Z,Eureka Mignon Specialita,371.8,EUR,Natur Bohne Bio Kaffee,"https://www.google.com/search?ibp=oshop&q=Eureka%20Mignon%20Specialita&prds=catalogid:16571144765841545914,headlineOfferDocid:8277623931370387716,imageDocid:2623831671333682759,gpcid:12751364777962778922,pvt:hg&hl=en&gl=nl&udm=28",True
